PNUM,BCATE,PNAME,DESIGN,price
1,4,14k 18k 그레이스 모던 심플 뱅글 팔찌,101,235000
2,4,14k 18k 릴리안 버클 뱅글 팔찌,101,1681000
3,4,14k 18k 제인 모던 뱅글 팔찌,101,485000
4,4,14k 18k 아담 1부 다이아몬드 팔찌,102,328000
5,4,14k 18k 데이브 사슬 블루 다이아몬드 팔찌,102,664000
6,4,14k 18k 로티 블루 다이아몬드 뱅글 팔찌,102,357000
7,4,14k 18k 켈리 언발란스 팔찌,102,404000
8,3,14k 18k 카레나 웨이브 진주귀걸이,103,154000
9,4,14k 18k 라비나 레드 포인트 진주 팔찌,103,184000
10,4,AVRIL 에이브릴 14K 골드볼 소원 매듭팔찌,104,14900
11,4,14k 18k 카트리나 레더 스틱 가죽팔찌,104,194000
12,4,14k 18k  레드 실크&체인 매듭팔찌,104,97000
13,2,14k 18k 올리비아 롱 스틱 진주&다이아몬드 목걸이,102,373000
14,2,14k 18k 쥬드 블루다이아몬드 십자가 목걸이,102,178000
15,2,14k 18k 헤더 브라운 다이아몬드 나뭇잎 목걸이,102,212000
16,2,14k 18k 마티나 블루 다이아 목걸이,102,298000
17,2,14k 18k 로렌 핵사곤 체인 롱 목걸이 ,105,217000
18,2,14k 18k 엠마 라운드 롱 목걸이 ,105,201000
19,2,14k 18k 성모마리아 볼륨 코인 목걸이,105,335000
20,3,14k 18k 에일린 버블드롭 귀걸이,105,548000
21,2,14k 18k 마야 스퀘어 모던 체인 목걸이,106,367000
22,2,14k 18k 베일리 페어 루비 목걸이,103,214000
23,2,14k 18k 쥬아나 십자가 펜던트,107,84000
24,2,성모마리아 볼륨 코인 펜던트,107,144000
25,2,JENNY 제니 허니컴 펜던트,107,267000
26,3,14k 18k 소피 라운드 컷팅 링 귀걸이,108,74000
27,3,14k 18k 헤스티아 메쉬 링 귀걸이,108,215000
28,3,14k 18k 빈센트 웨이브 다이아몬드 귀걸이,108,768000
29,3,SOPHIE 소피 라운드 링 귀걸이,108,78000
30,2,14k 18k 샐리 스네이크 슬림 뱀줄 목걸이,109,204000
31,2,14k 18k 아이린 라운드 목걸이,109,347000
32,2,14k 18k 캐더린 화이트 포인트 두줄목걸이,109,379000
33,1,14k 18k 앤 아리아 블루다이아몬드 반지,110,195000
34,1,14k 18k 숀 버블 반지,110,139000
35,1,14k 18k 힐라 버블 스틱 토파즈&꼬냑 다이아몬드 반지,110,282000
36,1,14k 18k 블리스 엔틱 블루 다이아몬드 반지,110,139000
37,1,14k 18k 이든 쿠션 런던 블루 토파즈 반지,102,157000
38,1,14k 18k 풀 문 블랙오닉스 반지,102,115000
39,1,14k 18k 글래디스 유니크 투 링 반지세트,102,542000
40,1,14k 18k 힐다 스퀘어 볼드 반지,108,248000
41,1,14k 18k 엘리사 천연 오팔 원석반지,108,494000
42,1,14k 18k 이블린 큐빅 버블 반지,106,325000
43,1,14k 18k 보노 미라 진주반지,106,701000
44,1,14k 18k 엔드리 핑크 오팔 버블 원석반지,106,833000
45,1,14k 18k 레이첼 와플 십자가 묵주반지,106,424000
46,1,14k 18k 카리스 심플 라운드 묵주반지,103,183000
47,1,14k 18k 아이다 심플 묵주반지,103,155000
48,1,14k 18k 헤일리 티아라 묵주반지,103,517000
49,1,14k 18k 유니스 모던 십자가 묵주반지,111,130000
50,3,14k 18k 애니카 페어 드롭 귀걸이,111,133000
51,3,14k 18k 애니 더블 십자가귀걸이,111,174000
52,3,14k 18k 유키 하프문 귀걸이,111,197000
53,3,14k 18k 티니 모던 십자가 귀걸이,111,270000
54,3,14k 18k 렐리아 오닉스 십자가 귀걸이,111,593000
55,3,14k 18k 엘리자베스 버블 진주귀걸이,110,346600
56,2,ELIZABETH 엘리자베스 버블 진주목걸이,110,395100
57,4,14k 18k 베키 버블 십자가 팔찌,110,286400
58,1,14k 18k 마르시아 가죽 레이어드 반지,104,456000
59,2,14k 18k 브라이트 미니 십자가 목걸이,111,263000
60,4,14k 18k 미셸 베이직 십자가 팔찌,111,228000
61,3,14k 18k 비안나 십자가 귀걸이,111,197500
62,3,14k 18k 제니아 러프 다이아몬드 십자가귀걸이,102,389400
63,1,14k 18k 프레드릭 더블 라인 반지,109,220000
64,1,14k 18k 이즈멜 담수진주 두줄 반지,109,397000
65,1,14k 18k 엠버 사슬 드롭 반지,105,846000
66,1,14k 18k 비비 웨이브 드롭 반지,105,198400
67,1,14k 18k 퍼렌도 스퀘어 엔 반지,107,363000
68,1,14k 18k 재키 무광 스퀘어 반지,107,123000
69,1,14k 18k 휴고 에이치 꼬임 반지,112,160700
70,1,14k 18k 제레미 심플 꼬임 반지,112,98300
71,2,14k 18k 하비 버블하트 목걸이,101,201700
72,2,14k 18k 헨드릭스 버블 물방울 목걸이,101,215500
73,2,14k 18k 로렌 레이스 볼 메쉬 목걸이,104,1094000
74,2,14k 18k 제시카 반달 롱 목걸이,108,326000
75,2,14k 18k 지아나 심플 라운드 목걸이,108,395500
76,2,14k 18k 휴고 에이치 목걸이,112,219000
77,2,14k 18k  헤이든 골든 목걸이,112,494000
78,3,14k 18k 단테 다이아몬드 링귀걸이,101,380000
79,3,14k 18k 루시 더블 라운드 귀걸이,101,195000
80,3,14k 18k 이슬라 매듭 진주 귀걸이,104,579000
81,3,14k 18k 안드레아 볼륨 메쉬 귀걸이,104,346000
82,3,14k 18k 안드레스 담수진주 귀걸이,106,884000
83,3,14k 18k 가브리엘 화이트 사파이어 귀걸이,106,434000
84,3,14k 18k 크레센트 문 귀걸이,107,455400
85,3,14k 18k 캐시 블랙 귀걸이,107,531000
86,3,14k 18k 에버렛 포인트 스톤 드롭 귀걸이,109,269600
87,3,14k 18k 베넷 언발 롱 드롭 귀걸이,109,297400
88,4,14k 18k 제이미 스틱 다이아몬드 팔찌,105,585000
89,4,14k 18k 게빈 볼드 체인 팔찌,106,961900
90,4,14k 18k 오지 다이아몬드 뱅글 팔찌,106,839000
91,4,14k 18k 애니카 코인 다이아몬드 팔찌,107,2860000
92,4,14k 18k 캐시 블랙 팔찌,107,553000
93,4,14k 18k 해리 라운드 팔찌,108,389000
94,4,14k 18k 아이린 라운드 팔찌,108,393000
95,4,14k 18k 엠버 사슬 드롭 팔찌,109,1811000
96,4,14k 18k 벤틀리 베이직 체인 팔찌,112,762000
97,4,14k 18k 벨리카 베이직 이니셜 팔찌,112,345000
98,1,14k 18k 조엘 하프 컷팅 반지,101,148800
99,3,14k 18k 폴 써클 귀걸이,112,323000
100,1,14k 18k 나디아 큐티 버블 반지  ,110,435000
